iter	RMSE
0	14.04225869
1	13.18300301
2	12.43554803
3	11.73047806
4	11.1057161
5	10.56835977
6	10.10335725
7	9.591974305
8	9.144029969
9	8.748565797
10	8.417949196
11	8.148322434
12	7.913831122
13	7.65723063
14	7.445862077
15	7.26021136
16	7.07585786
17	6.929609602
18	6.795071901
19	6.691055555
20	6.582552996
21	6.491026559
22	6.407899797
23	6.318339685
24	6.246659229
25	6.189058343
26	6.143919957
27	6.097720144
28	6.053891333
29	6.019146963
30	5.967436723
31	5.919916835
32	5.886757926
33	5.854036491
34	5.824708972
35	5.782628117
36	5.740701927
37	5.716162318
38	5.682695447
39	5.6581377
40	5.632729815
41	5.597854773
42	5.57605916
43	5.550290899
44	5.539609921
45	5.522409604
46	5.51543165
47	5.499075921
48	5.486468714
49	5.474502848
50	5.44361834
51	5.410218147
52	5.397696366
53	5.390817417
54	5.38206424
55	5.371929515
56	5.359579041
57	5.351505923
58	5.340875512
59	5.325857352
60	5.314436245
61	5.300777891
62	5.273385257
63	5.241004968
64	5.228108533
65	5.220764163
66	5.215403074
67	5.20658044
68	5.206109678
69	5.193121075
70	5.180131972
71	5.176649506
72	5.161083943
73	5.152071461
74	5.138971383
75	5.130889489
76	5.118445094
77	5.103681407
78	5.095130794
79	5.089961986
80	5.084930592
81	5.073429431
82	5.067456138
83	5.06600026
84	5.060894396
85	5.05822355
86	5.054063942
87	5.034058397
88	5.030197493
89	5.016787061
90	5.01631831
91	5.001838125
92	4.992481126
93	4.991456169
94	4.989967478
95	4.982102614
96	4.980277369
97	4.967618563
98	4.964108088
99	4.95536247
