iter	Passed	Remaining
0	2	235
1	5	258
2	7	251
3	10	241
4	12	237
5	14	231
6	23	313
7	25	297
8	28	284
9	30	273
10	32	264
11	36	264
12	38	256
13	41	253
14	43	247
15	46	242
16	58	283
17	60	276
18	63	270
19	67	268
20	70	265
21	73	261
22	76	256
23	78	248
24	82	246
25	84	241
26	87	235
27	90	231
28	91	225
29	93	218
30	96	215
31	98	209
32	100	203
33	102	198
34	103	193
35	105	188
36	107	183
37	109	178
38	112	175
39	114	171
40	116	167
41	118	163
42	119	158
43	121	154
44	123	150
45	126	148
46	127	144
47	129	140
48	131	136
49	133	133
50	134	129
51	136	125
52	138	122
53	140	120
54	142	116
55	144	113
56	146	110
57	147	107
58	150	104
59	152	101
60	154	98
61	156	96
62	158	93
63	160	90
64	162	87
65	163	84
66	165	81
67	166	78
68	167	75
69	171	73
70	173	70
71	175	68
72	176	65
73	178	62
74	180	60
75	181	57
76	183	54
77	186	52
78	191	50
79	193	48
80	195	45
81	196	43
82	198	40
83	200	38
84	203	35
85	204	33
86	207	30
87	209	28
88	210	26
89	212	23
90	213	21
91	215	18
92	217	16
93	219	13
94	220	11
95	222	9
96	224	6
97	226	4
98	227	2
99	229	0
